tmdb_id,provider_id
1045944,8
10545,337
169917,701
297270,337
10528,97
196867,"81,796"
10386,97
762975,"81,796"
68718,"81,796"
9279,337
812,337
335797,"8,119,356,97,1796"
359724,337
1040148,"81,796"
41025,692
389,97
10096,97
10402,337
158852,337
969686,356
22804,356
476669,337
20526,337
11544,337
239563,97
341174,356
207703,"83,371,796"
72105,119
22692,356
9297,"81,796"
9487,337
949,337
176,"8,97,1796"
406759,"8,97,1796"
137113,"356,97"
480414,"81,796"
8363,"8,97"
449443,"8,356,97,1796"
11631,"8,356,97,1796"
400160,"81,796"
256591,97
381289,"97,701"
10567,337
127380,337
293863,"8,97,1796"
5876,"8,97,1796"
343668,"83,371,796"
381288,"8,97,1796"
141,701
407436,"81,796"
47570,692
181812,337
490132,97
259316,356
578,"8,97,1796"
555604,"81,796"
16871,97
218836,337
431693,337
257344,97
9928,337
1487,"8,97,1796"
238636,356
9072,"81,796"
343611,"81,796"
184315,97
76757,"356,97"
50546,"81,796"
105864,337
57800,337
59440,97
11674,337
9737,356
218778,337
480530,701
508442,337
37799,97
950,337
7555,"356,97"
18240,337
311324,"8,119,356,97,1796"
312221,97
417384,"8,97,1796"
11529,337
228165,"81,796"
10200,337
310,337
779782,"81,796"
435,"83,371,796"
890771,"356,97"
10066,"83,561,796"
14574,"8,97"
1495,337
153,356
316029,"83,371,796"
509967,"81,796"
8698,337
137106,"8,97,1796"
242512,"81,796"
207,337
36685,337
607,97
181808,337
871,337
107846,8
177677,"81,796"
482373,97
621870,337
346672,"8,97,1796"
868759,350
398818,"83,561,796"
1734,"81,193,561,796"
787752,337
10159,97
869,337
646380,"81,796"
1724,337
9679,337
308531,"81,796"
137,97
429351,"83,567,011,796"
22970,356
10830,"81,796"
363676,97
3170,337
23631,356
7303,"8,97"
420821,337
4108,337
1366,97
628917,356
326359,337
15092,356
345940,356
404368,337
638449,"81,796"
39538,97
725201,"81,796"
38575,97
49530,"337,356,97"
272,"8,356,97,1796"
296,97
19908,"83,561,796"
258509,337
55301,337
394117,"8,97,1796"
254470,"119,97"
339692,"8,356,97,1796"
65,"8,97,1796"
10547,"356,97"
9032,"8,97,1796"
560057,"81,796"
41513,"8,97,1796"
333339,"83,561,796"
13515,337
273481,"83,561,796"
1620,337
27582,"81,796"
353486,97
855,"356,97"
324852,97
10065,97
615469,"81,796"
966,"356,97"
425001,97
412656,"356,97"
747,"81,796"
406997,"8,97,701"
278924,356
329996,337
10530,337
19994,337
109428,"81,796"
2024,97
